Temp Airfoil
1.000000 0.000000
1.032238 0.008947
1.045230 0.014528
1.053551 0.019343
1.058182 0.023960
1.057900 0.028442
1.052188 0.032772
1.041488 0.036948
1.026750 0.040986
1.009020 0.044910
0.989214 0.048733
0.968042 0.052463
0.946019 0.056096
0.923488 0.059623
0.900669 0.063029
0.877691 0.066296
0.854621 0.069404
0.831486 0.072335
0.808286 0.075070
0.785012 0.077590
0.761646 0.079879
0.738168 0.081921
0.714565 0.083703
0.690825 0.085211
0.666945 0.086436
0.642931 0.087368
0.618796 0.088000
0.594561 0.088325
0.570256 0.088339
0.545919 0.088039
0.521594 0.087425
0.497333 0.086494
0.473189 0.085247
0.449214 0.083683
0.425457 0.081802
0.401950 0.079598
0.378702 0.077061
0.355681 0.074172
0.332794 0.070898
0.309860 0.067187
0.286595 0.062966
0.262601 0.058137
0.237403 0.052588
0.210571 0.046227
0.181969 0.039043
0.152120 0.031199
0.122511 0.023116
0.095523 0.015460
0.073805 0.009007
0.060272 0.004752
0.049565 0.001122
0.039627 -0.002834
0.035612 -0.005718
0.039481 -0.007022
0.051030 -0.006778
0.068600 -0.005386
0.090100 -0.003349
0.113751 -0.001089
0.138351 0.001117
0.163215 0.003127
0.188005 0.004888
0.212583 0.006400
0.236906 0.007684
0.260963 0.008773
0.284751 0.009698
0.308257 0.010484
0.331452 0.011155
0.354291 0.011726
0.376717 0.012208
0.398658 0.012608
0.420031 0.012929
0.440746 0.013172
0.460709 0.013334
0.479824 0.013413
0.498001 0.013404
0.515155 0.013304
0.531223 0.013109
0.546161 0.012818
0.559961 0.012431
0.572659 0.011951
0.584349 0.011385
0.595196 0.010743
0.605452 0.010039
0.615471 0.009293
0.625724 0.008530
0.636803 0.007776
0.649425 0.007065
0.664413 0.006429
0.682649 0.005900
0.704989 0.005502
0.732121 0.005247
0.764347 0.005126
0.801295 0.005100
0.841571 0.005092
0.882455 0.004981
0.919810 0.004616
0.948635 0.003843
0.965074 0.002582
0.972235 0.000996
1.000000 -0.000000
